! '' </s> 2
! -rrb- </s> 5
!! -rrb- </s> 1
# 's . 1
# 's 105515 1
# 's for 1
# -lrb-281-rrb- 261-0499 </s> 1
# -lrb-281-rrb- 300-8286 </s> 1
# -lrb-713-rrb- 761-4808 </s> 1
# -lrb-713-rrb- 853-6577 </s> 1
# -rrb- </s> 8
# -rrb- Rick 1
# . </s> 1
# ... 918-732-1325 1
# 0 '' 3
# 0366 cc 2
# 0413 , 1
# 1 , 1
# 10186 </s> 1
# 10188 </s> 1
# 10189 </s> 1
# 1022 </s> 1
# 107043 . 1
# 1098 -rrb- 1
# 11 fin 1
# 11 phy 2
# 111718 </s> 1
# 111727 </s> 1
# 11650 -rrb- 1
# 13327 for 1
# 142438 </s> 1
# 147727 </s> 1
# 166762 , 1
# 166981 EPMI 2
# 166985 , 1
# 166985 EPMI 2
# 2-way Pager 1
# 20748 Res 1
# 20822 Res 1
# 20835 comm 1
# 21047 and 1
# 21349 CONTRACT 1
# 21879 -rrb- 1
# 24268 -rrb- 1
# 24924 Res 1
# 25025 under 1
# 27291 have 1
# 27495 and 1
# 27639 </s> 1
# 281-364-6274 </s> 2
# 281-367-1100 </s> 2
# 288135 </s> 1
# 288275 </s> 1
# 295115 </s> 1
# 295116 </s> 1
# 295117 </s> 1
# 296410 </s> 1
# 316101 </s> 1
# 4000002858 </s> 1
# 4000002904 -rrb- 1
# 47044 </s> 1
# 5736 for 1
# 59152 </s> 2
# 64449 </s> 2
# 668 </s> 1
# 6751 -rrb- 1
# 703-506-2694 </s> 1
# 703-506-4300 </s> 1
# 713-426-0057 </s> 1
# 713-646-8160 </s> 46
# 713-853-7751 </s> 46
# 78023 -rrb- 1
# 78113 </s> 1
# 78149 </s> 1
# 78150 </s> 1
# 78151 </s> 1
# 78310 </s> 1
# 799 -rrb- 1
# 8 fin 1
# 8 phy 2
# 918-732-1355 </s> 1
# 9577003 </s> 1
# 9577010 </s> 1
# 9m #npx 6
# : 712-271-3359 1
# : 888-568-0510 1
# : </s> 6
# :303 -438 2
# at </s> 1
# be 0413 1
# be 107043 1
# do not 1
# of activity 1
# of hit 1
# of hour 1
# of point 1
# of row 1
# termination date 1
#cq 1 -lrb- 2
#npx -lrb- please 6
$ 53,246 pledge 1
$ 55.00 </s> 1
$ 6,030 </s> 1
$ 6,300 of 1
$ 6000 . 1
$ 601 . 1
$ 634,261 </s> 1
$ 65,000 . 1
$ 7,460 of 1
$ 7.5 million 1
$ 70 , 1
$ 70 million 1
$ 70,000 . 1
$ 700 million 1
$ 700 mm 1
$ 700,000 , 1
$ 718.00 </s> 1
$ 75 million 1
$ 75,000 per 1
$ 7800 in 1
$ 790 billion 1
$ 8.7 million 1
$ 800 billion 3
$ 800.00 -lrb- 1
$ 819,000 today 1
$ 84,461.19 for 2
$ 84,487 that 1
$ 85.00 / 1
$ 850 billion 1
$ 87,885 </s> 1
$ 880 billion 1
$ 9,600 of 1
$ 9,783,336 relate 1
$ 9.2 million 1
$ 90 ; 1
$ 900 billion 3
$ 900.00 </s> 1
$ 938,517 </s> 1
$ 949.39 </s> 1
$ 95.00 / 1
$ for gas 1
$ for line 1
% ' -rrb- 1
% - 54 1
% . </s> 3
% ... 25 1
% be within 1
% commit to 1
% domestic ... 1
% domestic and 1
% execution rate 1
% full business 1
% in March 1
% international </s> 1
% of </s> 1
% of the 4
% of we 2
% of you 1
% on a 1
% participation and 3
% participation from 2
% participation with 2
& 03 . 1
& 10-05-01 . 1
& 11th . 1
& 13th . 1
& 19 </s> 1
& 1:48 pm 2
& 21st in 1
& 22 </s> 1
& 24 </s> 1
& 27 </s> 1
& 31 </s> 1
& A </s> 1
& Analytics be 2
& Assessment Summary 1
& CEO , 2
& CEO of 1
& Calculations/OBA Imbalances 1
& Canada -rrb- 6
& Cattle . 1
& Cliff Baxter 1
& Collection/Late pay 1
& Company , 2
& Conference Center 1
& Courtney , 1
& DUNG TRAN 1
& Dressing -rrb- 1
& Dressing w/Gravy 1
& Driving Directions 1
& Dynegy </s> 1
& Elizabeth Fallon 1
& End Game 1
& Engineering </s> 4
& FINANCIAL Gas 1
& Financial </s> 1
& Foster ? 1
& Friday , 1
& GKCom </s> 1
& Gas Production 1
& Gentlemen : 1
& Gus will 1
& I know 2
& Jim Steffes 2
& Marcus Nettleton 1
& Mohan - 1
& Networking </s> 2
& Oil Inc. 1
& Operations Management 3
& Operations Research 2
& Pamela Leff 1
& Password -rrb- 8
& Penny -rrb- 1
& Photo Opportunity 1
& Program </s> 2
& RH ?? 1
& Raetta , 2
& Rebecca Carter 1
& Rice Casserole 1
& Rob , 1
& Safety </s> 2
& Safety Organization 1
& Ship request 1
& Son Limited 1
& Steven - 1
& Storage MACT 1
& TFF SYNOPSIS 1
& Thursday 's 1
& Tim </s> 1
& Trade Resources 5
& WPL </s> 1
& Website -rrb- 1
& Website access 1
& Yvette : 1
& `` Open 1
& a 1:00 1
& attach hereto 1
& be willing 1
& beer </s> 1
& condition govern 2
& consultant , 1
& effort because 1
& fax . 1
& how to 1
& its benefit 1
& l be 2
& l on 1
& m contract 1
& make copy 1
& myself -rrb- 1
& objective page 1
& power trading 1
& power will 1
& ride contract 1
& roll off8 1
& shoe charge 1
& storage -rrb- 1
& strategy </s> 1
& ten8 objective 1
& thing look 1
' , this 1
' -rcb- -rrb- 1
' -rrb- and 1
' . </s> 1
' 0 ' 2
' 01-dec '01 1
' 05-dec '10 1
' 11-dec '15 1
' 16-oct '23 1
' 2001-04-01 00:00:00 1
' Assistant Jo 1
' be modify 1
' budget . 1
' budget with 1
' counsel in 1
' l # 3
' name . 1
' office . 1
' office and 1
' spreadsheet . 1
' state of 1
' t Affairs 1
' tab -rrb- 1
' the roll 1
' to all 1
' type situation 1
' voicemail identify 1
'' # 0 3
'' & `` 1
'' , I 2
'' , here 1
'' , so 1
'' , the 1
'' , to 3
'' , use 1
'' -lrb- but 1
'' -lrb- most 1
'' -lrb- read 1
'' -lrb- with 1
'' -rrb- . 2
'' -rrb- can 1
'' -rrb- event 1
'' . </s> 11
'' <naul@hesinet.com> on 1
'' ? </s> 1
'' Associates from 1
'' Boyd </s> 1
'' CD ... 1
'' Club , 2
'' Elizabeth , 1
'' Inn - 1
'' amendment and 1
'' and `` 3
'' and be 1
'' and each 1
'' and follow 1
'' and or 1
'' and send 1
'' and the 1
'' and then 15
'' as a 2
'' at the 1
'' be : 1
'' be Enron 1
'' be for 1
'' be what 1
'' box when 1
'' button on 1
'' by House 1
'' chart and 1
'' clean up 1
'' code for 1
'' commodity . 1
'' conference room 1
'' contact list 1
'' coverage </s> 1
'' daily conference 1
'' day -lrb- 1
'' day -rrb- 1
'' document that 1
'' down if 1
'' drive now 1
'' event may 1
'' file that 1
'' for Sithe 1
'' have change 1
'' in TMS 1
'' meet . 1
'' meet will 1
'' meeting </s> 1
'' meeting on 1
'' meeting schedule 1
'' net effect 1
'' of `` 1
'' of the 1
'' on </s> 1
'' on he 1
'' on the 1
'' only ! 1
'' or cut 1
'' or intense 1
'' people that 1
'' pipe of 1
'' price because 1
'' price show 1
'' primary and 1
'' program ! 1
'' program , 1
'' report , 1
'' say Hillary 1
'' scan of 1
'' set-up on 1
'' shirt . 1
'' shut down 1
'' so I 1
'' t-shirt . 1
'' t-shirt be 1
'' tab . 15
'' that you 1
'' the report 1
'' title you 1
'' to I 1
'' to clean 1
'' to execute 1
'' to reach 1
'' tomorrow , 1
'' tool in 1
'' way to 1
'01 and be 1
'02 - Dec 1
'cause even I 1
'em ergency ' 1
'll arrive on 1
'll b btr 1
'll be add 1
'll be back 3
'll be come 1
'll be glad 1
'll be there 1
'll check with 1
'll fax it 2
'll forward to 1
'll hold that 1
'll just continue 1
'll keep work 1
'll let Walter 1
'll let you 2
'll make sure 1
'll pass they 1
'll probably make 1
'll see how 1
'll see what 1
'll see you 1
'll send they 1
'll send you 1
'll summarize commodity 1
'll take care 2
'll tell you 1
'll try to 1
's ! </s> 1
's & Thursday 1
's '' at 1
's , </s> 1
's , Inc. 2
's , additional 1
's , and 1
's , etc 1
's -06102 ? 1
's . </s> 12
's 105515 and 1
's : pgeinv 1
's @ 4:30 1
's Assistant Lucy 1
's Association conference 1
's Bill 's 1
's Boulevard </s> 1
's Crescendo meeting 1
's Direct Report 1
's Energy Services 1
's Future </s> 2
's Junior Achievement 1
's Leadership Campaign 1
's OBA 's 1
's OBA -lrb- 1
's OBA agreement 1
's Office </s> 1
's Office on 1
's Product </s> 1
's Retirement Party 1
's Roundtable . 1
's Skilling and 1
's Ventura . 1
's Ventura to 1
's Visions and 1
's Waterway Environment 1
's Weekend Notes 1
's `` golden 1
's ability to 1
's absence . 1
's agency </s> 1
's allow vacation 1
's and Eric 1
's and cash 1
's and rolling 1
's as they 1
's assistant -rrb- 1
's balance be 2
's be Dec. 1
's be on 1
's be process 1
's business , 1
's c code 1
's calendar -lrb- 1
's calendar for 1
's call this 1
's call with 1
's cancellation exposure 1
's cell phone 1
's clock . 1
's clock ? 1
's clock be 1
's close be 1
's close of 2
's commitment and 1
's comprehensive rto 1
's conference call 3
's contact information 1
's contract so 1
's corner , 1
's corner </s> 1
's count on 1
's culture . 1
's current economic 1
's current purview 1
's customer . 1
's customer number 1
's daily p 1
's database , 1
's datum , 1
's day to 1
's departure from 1
's desk , 1
's differential pay 1
's document </s> 2
's document I 1
's effort to 1
's email inform 1
's equity volume 1
's ex-husband , 1
's executive team 1
's expense , 1
's expense -lrb- 1
's final version 1
's for all 1
's for each 1
's for lunch 1
's for review 1
's for the 2
's fundraiser ... 1
's goal . 1
's goal be 1
's greeting , 1
's gross box 1
's group . 1
's group ? 1
's group explain 1
's group have 1
's group on 1
's have already 1
's have be 2
's hope </s> 1
's imbalance will 1
's immediate </s> 1
's implementation , 1
's in ENA 1
's in the 1
's information : 1
's information remove 1
's initial email 1
's intent to 1
's intereview at 1
's involvement in 2
's keep in 1
's leadership in 2
's legislative/ferc strategy 1
's letter . 1
's liability of 1
's list below 1
's little </s> 1
's loss be 1
's mailout . 1
's major contribution 2
's make he 1
's meeting ... 1
's meeting w/Mayor 1
's meeting will 1
's message and 1
's mid-17 contract 1
's mother 's 1
's movement from 1
's mtg. be 1
's name , 1
's name and 2
's name be 2
's name to 1
's national bird 1
's near zero 1
's negotiate rate 1
's new contact 1
's not conform 1
's number he 1
's oba contract 1
's objective be 1
's obligation to 1
's office -lrb- 1
's office -rrb- 3
's office . 2
's office </s> 1
's office a 1
's office at 1
's office on 1
's office start 1
's office tomorrow 1
's okay for 1
's on gas 1
's on the 1
's on-call rotation 1
's one millionth 1
's operation . 1
's or address 1
's organization and 1
's out weather 1
's outstanding amount 1
's pager number 1
's park ; 1
's paymet capability 1
's percentage can 4
's personal goal 1
's phone number 1
's physical crude 1
's plant . 1
's political risk 1
's polycom number-853-5202 1
's poor credit 1
's position . 1
's position would 1
's power could 1
's presentation on 1
's priority in 1
's problem on 1
's production . 1
's production which 1
's promise on 1
's promotion of 1
's proprietary trading 1
's purpose be 1
's rate have 1
's refinery gas 1
's report , 2
's report be 1
's report have 1
's request , 3
's request -rrb- 1
's request . 1
's request below 1
's resource in 1
's result : 1
's review next 1
's right after 1
's roundtable meeting 3
's schedule . 1
's section of 2
's signature . 1
's situation they 1
's son who 1
's soundbite be 1
's speech in 1
's staff meeting 1
's tariff . 1
's team leader 2
's that have 1
's to Dennis 1
's to electronically 1
's to read 1
's tour , 1
's unitholder . 1
's until Friday 1
's use the 1
's various stakeholder 1
's view be 1
's vision . 1
's will be 2
's will come 1
's with total 1
* -rrb- as 1
* . </s> 2
* Avg index 1
* htm file 1
* tba </s> 3
* will set 1
* you have 1
* ~ * 54
+ .15 -rrb- 1
+ 43,834 dth 1
+ actual storage 1
+ e-next interest 1
+ point in 1
+281 831 3749 Houston Houston 1
+281 831 3749 Houston Washington 1
+31 6218 23401 Netherlands Netherlands 2
, & </s> 1
, & Penny 1
, & Yvette 1
, '' </s> 1
, '' and 2
, '' say 1
, '' to 1
, 'cause even 1
, , </s> 1
, , and 1
, - then 1
, -lrb- 2 1
, -lrb- 3 1
, -lrb- for 2
, -lrb-713-rrb- 646-8000 . 1
, -lrb-713-rrb- 853-5660 . 1
, 01/01/02 thru 1
, 01/07/02 . 1
, 02/4 -5 1
, 10/02/01 , 1
, 10/03/01 , 1
, 10/04/01 , 1
, 10/29/01 . 1
, 10/30 -rrb- 1
, 100,000 / 2
, 11/10/00 . 1
, 12/21/01 , 1
, 12/27 but 1
, 12:48 , 1
, 12:57 , 1
, 12th or 1
, 14 , 1
, 15 -lrb- 1
, 150,000 / 2
, 15550 Grant 1
, 16 , 1
, 17 & 1
, 17th or 1
, 1990 and 1
, 1992 between 1
, 1995 between 1
, 1999 </s> 9
, 1999 and 1
, 1999 as 1
, 1999 execution 1
, 1999 have 1
, 1:06 , 1
, 1:15 , 1
, 1:40 & 1
, 2000 , 5
, 2000 . 10
, 2000 </s> 14
, 2000 Astros 11
, 2000 and 1
, 2000 between 2
, 2000 from 1
, 2000 in 2
, 2000 with 1
, 2001 '' 1
, 2001 , 6
, 2001 -- 4
, 2001 . 28
, 2001 10:00 1
, 2001 3:00 2
, 2001 3:30 1
, 2001 9:00 1
, 2001 : 1
, 2001 </s> 18
, 2001 I 1
, 2001 Koch 1
, 2001 PLE 1
, 2001 and 1
, 2001 at 2
, 2001 be 2
, 2001 cd 1
, 2001 from 3
, 2001 in 3
, 2001 or 1
, 2001 return 1
, 2001 the 1
, 2001 there 1
, 2001 will 2
, 2001at 11:00 1
, 2002 , 1
, 2002 . 7
, 21st and 1
, 21st floor 1
, 24754 . 1
, 25190 , 1
, 295 </s> 1
, 2:30 pm 2
, 3/13/01 , 1
, 3/6/01 , 1
, 34th Floor 1
, 3:30 eastern 1
, 3rd or 1
, 4/19/01 -rrb- 1
, 4/27/01 </s> 1
, 4/28 , 1
, 42p cover 1
, 5/19/00 in 1
, 5/22/00 in 1
, 50,000 / 1
, 5:30 p.m. 1
, 6.45 be 1
, 6th floor 1
, 713-796-1437 , 1
, 713-853-1516 </s> 1
, 713-860-1149 </s> 1
, 7:05 pm 3
, 845 mmbtu 1
, 9/11 Tuesday 1
, 9/12 Wednesday 1
, 9/13 Thursday 1
, 9/25 . 1
, 9/28 , 1
, 9:00 be 1
, Accounting argue 1
, Al could 1
, Alfalfa Sprouts 1
, Alma Green 1
, Altura could 1
, Amarillo Natural 1
, Anita </s> 1
, Anita DuPont 1
, Anshuman , 1
, April 03 1
, April 11 1
, April 16 1
, April 18 1
, April 20 2
, April 23 1
, April 24 1
, April 27 1
, April 27-28 1
, April 29 1
, April 30th 1
, April 5 1
, April 9 1
, Assistant Professor 1
, Aug. 21 1
, August 1 2
, August 10 1
, August 13 2
, August 14 1
, August 15 2
, August 16 1
, August 17 2
, August 18 1
, August 19 1
, August 20 1
, August 23 1
, August 3 1
, August 31 1
, August 4 1
, August 7 1
, August 8 1
, August 9 1
, Ava -rsb- 1
, Avenue Louise 1
, Bankruptcy-CAD have 1
, Barry in 1
, Basis , 1
, Beaver Co 1
, Becky , 1
, Benihana 's 1
, Berkeley Business 1
, Bert </s> 6
, Bill Bradford 1
, Brad Holmes 1
, Brian in 1
, CA 94305-4026 4
, CA 94720-1777 2
, CFTC , 1
, CMS , 1
, CMU , 1
, CO 80021 1
, CO 80906 2
, CO </s> 1
, CST . 1
, Canada , 2
, Carrots and 1
, Cash , 1
, Catherine `` 1
, Chairman & 1
, Chairman of 2
, Chelsea -lrb- 1
, Chief Commercial 1
, Chris and 1
, Chris in 1
, Cinergy 713-393-6884 1
, Coast 281-274-7521 1
, Commerce , 1
, Company Overview 1
, Congress , 1
, Connie Sutton 1
, Conoco 281-293-5643 1
, Contract Administration 1
, Coral will 1
, Courtney Barker 1
, Cucumber , 1
, Cynthia & 1
, Cypress TX 1
, D.C. , 1
, DBA 's 1
, DC 20005 1
, DC Houston 1
, DC Washington 2
, DC during 1
, DC office 1
, DECAF ll 1
, DIANE </s> 1
, DPC -rrb- 2
, Dallas , 1
, Dallas </s> 1
, Dana in 1
, Daren Farmer 1
, Dave , 1
, Dave in 1
, Dec 8th 1
, Dec. 7th 1
, December 1 1
, December 10 1
, December 11 1
, December 13 1
, December 14 3
, December 18 1
, December 2 1
, December 21 1
, December 3 1
, December 31st 1
, December 4 1
, December 4th 1
, December 7 4
, December 8 4
, December 8th 1
, December 9 1
, December 9th 1
, Don in 1
, Dorothy , 1
, Doug Smith 1
, Dow Jones 2
, Dynegy , 1
, Dynegy 713-767-8642 1
, EES , 1
, EGM , 1
, EGM and 1
, EGS be 1
, EIM , 2
, ENCOPY , 1
, ENW , 1
, EOL.TRADING _ 2
, ESA and 1
, Eastern New 1
, Eddy County 1
, Elizabeth & 1
, Elizabeth , 1
, Ellis Stern 1
, Embassy be 1
, Enron 's 2
, Enron , 3
, Enron </s> 1
, Enron Asset 1
, Enron Campus 1
, Enron Canada 1
, Enron Europe 1
, Enron Field 2
, Enron Industrial 1
, Enron Japan 1
, Enron and 1
, Enron be 1
, EnronOnline staff 1
, Eric Bass 1
, Eric be 1
, Eric work 1
, Eurex Board 1
, Excel or 1
, FCC , 1
, FT , 1
, FYI - 1
, FYI . 2
, Faculty Recruiting 2
, Feb. 7 1
, February 10th 1
, February 15 1
, February 16 1
, February 19 2
, February 2 1
, February 20 2
, February 23 1
, February 27 4
, February 28 1
, February 8 1
, February 9th 1
, February </s> 1
, Financial Contracts 1
, Fiona Grant 1
, Fletch in 1
, France </s> 1
, Frank & 1
, Frank out 1
, Fred in 1
, Fri -rrb- 1
, Friday , 5
, Friday March 1
, GA November 1
, GA on 3
, GE and 2
, Gary Anderson 1
, Gary Lamphier 1
, Gary and 1
, Georgia Institute 1
, Global Finance 2
, Global Rates 1
, Government Affairs 2
, Great Lakes/Midwest 1
, Head of 1
, Health & 3
, Heidi and 1
, Hobby Airport 1
, Houston , 2
, Hunter in 1
, I 'll 3
, I , 4
, I add 1
, I apologize 1
, I be 22
, I believe 1
, I can 5
, I compile 1
, I could 1
, I discover 1
, I do 2
, I encourage 2
, I feel 2
, I go 1
, I guess 2
, I have 22
, I hear 1
, I invite 1
, I just 1
, I love 1
, I may 1
, I meet 1
, I need 5
, I notice 1
, I notify 1
, I put 1
, I receive 1
, I speak 1
, I suppose 1
, I suspect 1
, I talk 1
, I think 8
, I try 1
, I want 2
, I will 24
, I wish 1
, I work 1
, I would 12
, I write 1
, IEA and 1
, IES pay 1
, Inc. , 1
, Inc. -lrb- 2
, Inc. -rrb- 1
, Inc. . 22
, Inc. </s> 1
, Inc. and 1
, Inc. merger 2
, Independent Contactor 1
, India time 1
, Industrial Engineering 2
, Interstate Power 1
, Investment Advisor 1
, Island and 1
, JS & 1
, Jan. 10 2
, Jan. 12th 1
, Jan. 13th 1
, Jan. 21st 1
, Jane , 1
, Jane will 1
, January 10 2
, January 11 1
, January 13 1
, January 14 2
, January 15 1
, January 16 1
, January 18 1
, January 2 2
, January 26 1
, January 29 1
, January 9 3
, January 9th 1
, January </s> 2
, Jeff 's 1
, Jeff Skilling 1
, Jeff do 1
, Jeff finish 1
, Jeff have 1
, Jill </s> 1
, Jim </s> 1
, Jim Schwieger 1
, Jim Studebaker 1
, Joe . 1
, Joe Deffner 2
, Joe Linhart 1
, Joe or 2
, John </s> 1
, John in 2
, July 10 1
, July 11 3
, July 12 3
, July 16 3
, July 20 3
, July 24 2
, July 25 1
, July 26 4
, July 28 1
, July 30 1
, July 6 1
, July 9 1
, July </s> 1
, June 06 1
, June 1 3
, June 10 1
, June 12 1
, June 13 1
, June 14 1
, June 22 2
, June 25 1
, June 5 2
, June 7 1
, June 7th 2
, June 8 1
, June </s> 1
, Kate and 1
, Katy Tailgate 1
, Ken Lay 1
, Kevin Moore 1
, Kevin in 1
, Kim Theriot 1
, Koch and 1
, Koch may 1
, L.P. </s> 1
, LLC </s> 1
, LR , 1
, Larry Gagliardi 1
, Laura in 1
, Lea County 1
, League City 1
, Legal , 2
, Legal and 1
, Lehman Bros. 1
, Leo Co 1
, Lettuce and 1
, Liz , 1
, Lonestar Katy 1
, M.D. , 2
, MARCH 31 1
, MAY 9TH 1
, MELISSA </s> 1
, MPH </s> 1
, Madison Gas 1
, Madison ie 1
, Manager </s> 1
, Manager of 1
, March 12 1
, March 15 1
, March 19 1
, March 19th 1
, March 20th 1
, March 21st 1
, March 22 2
, March 23 4
, March 24st 1
, March 24th 1
, March 26 3
, March 27 2
, March 3 1
, March 30 1
, March 31 1
, March 31st 1
, March 9 2
, Mark would 1
, Marketing -lrb- 1
, Marketing and 1
, Matthew . 1
, May 14 1
, May 18 1
, May 18th 1
, May 24 1
, May 25 3
, May 29 3
, May 30 1
, May 31 2
, May 7 2
, May </s> 1
, Meter Number 1
, Mexico , 2
, Mexico </s> 1
, Mid Atlantic/New 1
, MidAmerican and 1
, Mike in 1
, Mobil , 1
, Mohave AZ 3
, Monday , 1
, Morgan Stanley 1
, Mr. Mehta 1
, Ms Badu 1
, Mushrooms </s> 1
, Mustang do 1
, NGPL , 1
, NM </s> 1
, NOVEMBER 14TH 1
, NOVEMBER 15th 1
, NW , 1
, NY 14853 2
, Neil McGregor 1
, New Mexico 1
, North Team 1
, Nov 00 1
, Nov. 27th 1
, Nov. 30th 1
, Nov. 7 2
, Nov. 8 2
, Nov. 9 2
, Nov. 9th 1
, November 1 1
, November 10th 1
, November 12 1
, November 14th 1
, November 15 3
, November 16 3
, November 16th 1
, November 17 1
, November 2 1
, November 21 2
, November 22 1
, November 26 1
, November 27 2
, November 27th 2
, November 28 6
, November 28th 1
, November 3 1
, November 30 2
, November 30th 1
, November 5 4
, November 7 2
, November 7th 1
, November 8 4
, November 9 5
, OCTOBER 30 1
, OXY 713-215-7229 1
, Oasis Katy 1
, Oct 1 1
, Oct. 29th 1
, Oct. 30 1
, Oct. 30th 2
, October 1 1
, October 12 2
, October 16th 2
, October 18 1
, October 18th 1
, October 19 3
, October 20 1
, October 21 1
, October 22 4
, October 22nd 1
, October 23 2
, October 24 2
, October 25 1
, October 25th 2
, October 29 2
, October 2nd 1
, October 3 1
, October 30 3
, October 31 2
, October 31st 1
, October 8 2
, Ohio </s> 1
, Olive and 1
, Overview , 1
, Oxy Permian 1
, PG&E Corp. 2
, PG&E utility 1
, PPL , 1
, Peter Styles 2
, Phillip in 1
, Polk Co 1
, Port Allen 1
, President & 2
, President and 1
, President of 1
, Product sale 1
, Prof. Jussi 1
, Prof. Keppo 1
, Prompt Financial 1
, Prompt Physical 1
, Provolone , 1
, QF/Structured deal 1
, Questar , 1
, RC # 2
, ROM etc 1
, Raetta have 1
, Ravi , 1
, Reg Affairs 1
, Rhodes Hall 2
, Rick Shapiro 1
, Rick would 1
, Risk Initiatives 1
, Rob out 1
, Robert , 1
, Rod ! 1
, Room 350 2
, Rules , 1
, Ruth </s> 1
, SN , 1
, Salami , 1
, Sally ! 1
, Salsa Dip 1
, Saturday </s> 1
, School of 1
, Scott Pleus 1
, Scott in 1
, Scott will 1
, Sept. 11 1
, September 10 1
, September 12 2
, September 13 1
, September 14 3
, September 19 1
, September 24th 1
, September 25th 1
, September 27 1
, September 29 1
, September 5 1
, September 6 1
, September 7 1
, Shelley 's 1
, Shelley and 1
, Shirley ask 1
, Shockwave need 1
, South America 2
, South Central/Southeast 1
, Southeast , 1
